family,variable,forced_value,status,fleet_size,chained,objective,min_fleet_reachable,objective_reachable,solved
chaining,"(107, (295900043, 200000222))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (295900043, 200000222))",1,Optimal,31,101,87.23113333333335,True,False,True
chaining,"(107, (295900043, 294400189))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (295900043, 294400189))",1,Optimal,31,101,87.63148333333335,True,True,True
chaining,"(107, (295900043, 200090224))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (295900043, 200090224))",1,Optimal,32,100,85.89680000000001,False,False,True
chaining,"(107, (295900043, 200090225))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (295900043, 200090225))",1,Optimal,31,101,87.63148333333335,True,True,True
chaining,"(107, (295900043, 200000026))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (295900043, 200000026))",1,Optimal,32,100,86.63148333333335,False,False,True
chaining,"(107, (295900043, 296600060))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (295900043, 296600060))",1,Optimal,31,101,87.18466666666669,True,False,True
chaining,"(107, (295900043, 200000030))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (295900043, 200000030))",1,Optimal,31,101,87.1385777777778,True,False,True
chaining,"(107, (295900043, 296600058))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (295900043, 296600058))",1,Optimal,31,101,87.18466666666669,True,False,True
chaining,"(107, (295900043, 200000817))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (295900043, 200000817))",1,Optimal,31,101,87.1385777777778,True,False,True
chaining,"(107, (295900043, 295700445))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (295900043, 295700445))",1,Optimal,31,101,87.13857777777778,True,False,True
chaining,"(107, (295900043, 295800465))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (295900043, 295800465))",1,Optimal,31,101,87.63148333333335,True,True,True
chaining,"(107, (295900043, 200090404))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (295900043, 200090404))",1,Optimal,31,101,87.63148333333336,True,True,True
chaining,"(107, (295900043, 295800463))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (295900043, 295800463))",1,Optimal,31,101,87.63148333333335,True,True,True
