family,variable,forced_value,status,fleet_size,chained,objective,min_fleet_reachable,objective_reachable,solved
chaining,"(200090709, 296000091)",0,Optimal,35,97,97,True,True,False
chaining,"(200090709, 296000091)",1,Optimal,35,97,97,True,True,True
chaining,"(200090709, 296000097)",0,Optimal,35,97,97,True,True,False
chaining,"(200090709, 296000097)",1,Optimal,35,97,97,True,True,True
chaining,"(295900061, 294200138)",0,Optimal,35,97,97,True,True,False
chaining,"(295900061, 294200138)",1,Optimal,35,97,97,True,True,True
chaining,"(295900061, 294200175)",0,Optimal,35,97,97,True,True,False
chaining,"(295900061, 294200175)",1,Optimal,35,97,97,True,True,True
chaining,"(295900061, 200090123)",0,Optimal,35,97,97,True,True,False
chaining,"(295900061, 200090123)",1,Optimal,35,97,97,True,True,True
chaining,"(295900061, 200000121)",0,Optimal,35,97,97,True,True,False
chaining,"(295900061, 200000121)",1,Optimal,35,97,97,True,True,True
